,time,value
0,1956.0,284
1,1956.25,213
2,1956.5,227
3,1956.75,308
4,1957.0,262
5,1957.25,228
6,1957.5,236
7,1957.75,320
8,1958.0,272
9,1958.25,233
10,1958.5,237
11,1958.75,313
12,1959.0,261
13,1959.25,227
14,1959.5,250
15,1959.75,314
16,1960.0,286
17,1960.25,227
18,1960.5,260
19,1960.75,311
20,1961.0,295
21,1961.25,233
22,1961.5,257
23,1961.75,339
24,1962.0,279
25,1962.25,250
26,1962.5,270
27,1962.75,346
28,1963.0,294
29,1963.25,255
30,1963.5,278
31,1963.75,363
32,1964.0,313
33,1964.25,273
34,1964.5,300
35,1964.75,370
36,1965.0,331
37,1965.25,288
38,1965.5,306
39,1965.75,386
40,1966.0,335
41,1966.25,288
42,1966.5,308
43,1966.75,402
44,1967.0,353
45,1967.25,316
46,1967.5,325
47,1967.75,405
48,1968.0,393
49,1968.25,319
